$1.00	$2.00	$5.00	$10.00	$20.00	
$0.10	$0.20	$0.50	$1.00	$2.00	319.87
$0.15	$0.30	$0.75	$1.50	$3.00	106.62
$0.20	$0.40	$1.00	$2.00	$4.00	91.39
$0.25	$0.50	$1.25	$2.50	$5.00	62.78
$0.30	$0.60	$1.50	$3.00	$6.00	106.62
$0.35	$0.70	$1.75	$3.50	$7.00	125.44
$0.40	$0.80	$2.00	$4.00	$8.00	123.03
$0.45	$0.90	$2.25	$4.50	$9.00	228.48
$0.50	$1.00	$2.50	$5.00	$10.00	79.97
$0.55	$1.10	$2.75	$5.50	$11.00	266.56
$0.60	$1.20	$3.00	$6.00	$12.00	182.26
$0.65	$1.30	$3.25	$6.50	$13.00	177.21
$0.70	$1.40	$3.50	$7.00	$14.00	3,198.69
$0.75	$1.50	$3.75	$7.50	$15.00	1,752.71
$0.80	$1.60	$4.00	$8.00	$16.00	1,279.48
$0.85	$1.70	$4.25	$8.50	$17.00	484.65
$0.90	$1.80	$4.50	$9.00	$18.00	6,397.39
$0.95	$1.90	$4.75	$9.50	$19.00	7,996.74
$1.00	$2.00	$5.00	$10.00	$20.00	1,599.35
$1.05	$2.10	$5.25	$10.50	$21.00	2,132.46
$1.10	$2.20	$5.50	$11.00	$22.00	2,132.46
$1.15	$2.30	$5.75	$11.50	$23.00	2,132.46
$1.20	$2.40	$6.00	$12.00	$24.00	2,132.46
$1.25	$2.50	$6.25	$12.50	$25.00	2,132.46
$1.30	$2.60	$6.50	$13.00	$26.00	213.25
$1.35	$2.70	$6.75	$13.50	$27.00	319.87
$1.40	$2.80	$7.00	$14.00	$28.00	3,198.69
$1.45	$2.90	$7.25	$14.50	$29.00	3,198.69
$1.50	$3.00	$7.50	$15.00	$30.00	639.74
$1.55	$3.10	$7.75	$15.50	$31.00	639.74
$1.60	$3.20	$8.00	$16.00	$32.00	3,198.69
$1.65	$3.30	$8.25	$16.50	$33.00	3,198.69
$1.70	$3.40	$8.50	$17.00	$34.00	3,198.69
$1.75	$3.50	$8.75	$17.50	$35.00	3,198.69
$1.80	$3.60	$9.00	$18.00	$36.00	3,198.69
$1.85	$3.70	$9.25	$18.50	$37.00	1,279.48
$1.90	$3.80	$9.50	$19.00	$38.00	319.87
$1.95	$3.90	$9.75	$19.50	$39.00	266.56
$2.00	$4.00	$10.00	$20.00	$40.00	319.87
$2.05	$4.10	$10.25	$20.50	$41.00	1,066.23
$2.10	$4.20	$10.50	$21.00	$42.00	319.87
$2.15	$4.30	$10.75	$21.50	$43.00	426.49
$2.20	$4.40	$11.00	$22.00	$44.00	1,066.23
$2.25	$4.50	$11.25	$22.50	$45.00	503.73
$2.30	$4.60	$11.50	$23.00	$46.00	913.91
$2.35	$4.70	$11.75	$23.50	$47.00	780.17
$2.40	$4.80	$12.00	$24.00	$48.00	799.67
$2.45	$4.90	$12.25	$24.50	$49.00	1,066.23
$2.50	$5.00	$12.50	$25.00	$50.00	1,066.23
$2.55	$5.10	$12.75	$25.50	$51.00	1,279.48
$2.60	$5.20	$13.00	$26.00	$52.00	799.67
$2.65	$5.30	$13.25	$26.50	$53.00	913.91
$2.70	$5.40	$13.50	$27.00	$54.00	1,142.39
$2.75	$5.50	$13.75	$27.50	$55.00	1,279.48
$2.80	$5.60	$14.00	$28.00	$56.00	1,777.05
$2.85	$5.70	$14.25	$28.50	$57.00	1,777.05
$2.90	$5.80	$14.50	$29.00	$58.00	1,999.18
$2.95	$5.90	$14.75	$29.50	$59.00	1,777.05
$3.00	$6.00	$15.00	$30.00	$60.00	1,430.54
$3.05	$6.10	$15.25	$30.50	$61.00	1,355.38
$3.10	$6.20	$15.50	$31.00	$62.00	1,204.78
$3.15	$6.30	$15.75	$31.50	$63.00	1,331.68
$3.20	$6.40	$16.00	$32.00	$64.00	913.91
$3.25	$6.50	$16.25	$32.50	$65.00	1,297.64
$3.30	$6.60	$16.50	$33.00	$66.00	1,419.12
$3.35	$6.70	$16.75	$33.50	$67.00	1,518.13
$3.40	$6.80	$17.00	$34.00	$68.00	1,997.94
$3.45	$6.90	$17.25	$34.50	$69.00	1,785.98
$3.50	$7.00	$17.50	$35.00	$70.00	2,265.36
$3.55	$7.10	$17.75	$35.50	$71.00	2,024.49
$3.60	$7.20	$18.00	$36.00	$72.00	2,489.26
$3.65	$7.30	$18.25	$36.50	$73.00	1,997.94
$3.70	$7.40	$18.50	$37.00	$74.00	2,759.87
$3.75	$7.50	$18.75	$37.50	$75.00	2,759.87
$3.80	$7.60	$19.00	$38.00	$76.00	2,975.53
$3.85	$7.70	$19.25	$38.50	$77.00	2,530.61
$3.90	$7.80	$19.50	$39.00	$78.00	2,489.26
$3.95	$7.90	$19.75	$39.50	$79.00	2,975.53
$4.00	$8.00	$20.00	$40.00	$80.00	2,845.81
$4.05	$8.10	$20.25	$40.50	$81.00	3,614.34
$4.10	$8.20	$20.50	$41.00	$82.00	2,449.23
$4.15	$8.30	$20.75	$41.50	$83.00	3,794.42
$4.20	$8.40	$21.00	$42.00	$84.00	3,993.38
$4.25	$8.50	$21.25	$42.50	$85.00	4,340.15
$4.30	$8.60	$21.50	$43.00	$86.00	4,745.84
$4.35	$8.70	$21.75	$43.50	$87.00	5,235.18
$4.40	$8.80	$22.00	$44.00	$88.00	3,702.19
$4.45	$8.90	$22.25	$44.50	$89.00	6,069.63
$4.50	$9.00	$22.50	$45.00	$90.00	3,702.19
$4.55	$9.10	$22.75	$45.50	$91.00	4,898.46
$4.60	$9.20	$23.00	$46.00	$92.00	5,421.52
$4.65	$9.30	$23.25	$46.50	$93.00	5,061.22
$4.70	$9.40	$23.50	$47.00	$94.00	5,061.22
$4.75	$9.50	$23.75	$47.50	$95.00	5,061.22
$4.80	$9.60	$24.00	$48.00	$96.00	5,837.03
$4.85	$9.70	$24.25	$48.50	$97.00	6,893.74
$4.90	$9.80	$24.50	$49.00	$98.00	4,745.84
$4.95	$9.90	$24.75	$49.50	$99.00	11,674.07
$5.00	$10.00	$25.00	$50.00	$100.00	1,788.98
$5.05	$10.10	$25.25	$50.50	$101.00	1,644.57
$5.10	$10.20	$25.50	$51.00	$102.00	2,009.23
$5.15	$10.30	$25.75	$51.50	$103.00	1,247.54
$5.20	$10.40	$26.00	$52.00	$104.00	1,722.51
$5.25	$10.50	$26.25	$52.50	$105.00	1,572.61
$5.30	$10.60	$26.50	$53.00	$106.00	2,412.29
$5.35	$10.70	$26.75	$53.50	$107.00	1,292.40
$5.40	$10.80	$27.00	$54.00	$108.00	1,507.40
$5.45	$10.90	$27.25	$54.50	$109.00	3,014.79
$5.50	$11.00	$27.50	$55.00	$110.00	3,287.46
$5.55	$11.10	$27.75	$55.50	$111.00	2,781.47
$5.60	$11.20	$28.00	$56.00	$112.00	3,287.46
$5.65	$11.30	$28.25	$56.50	$113.00	2,128.21
$5.70	$11.40	$28.50	$57.00	$114.00	1,903.98
$5.75	$11.50	$28.75	$57.50	$115.00	2,260.56
$5.80	$11.60	$29.00	$58.00	$116.00	4,018.46
$5.85	$11.70	$29.25	$58.50	$117.00	2,260.56
$5.90	$11.80	$29.50	$59.00	$118.00	1,809.22
$5.95	$11.90	$29.75	$59.50	$119.00	2,009.23
$6.00	$12.00	$30.00	$60.00	$120.00	3,287.46
$6.05	$12.10	$30.25	$60.50	$121.00	3,287.46
$6.10	$12.20	$30.50	$61.00	$122.00	3,618.43
$6.15	$12.30	$30.75	$61.50	$123.00	5,243.76
$6.20	$12.40	$31.00	$62.00	$124.00	5,167.52
$6.25	$12.50	$31.25	$62.50	$125.00	5,167.52
$6.30	$12.60	$31.50	$63.00	$126.00	3,618.43
$6.35	$12.70	$31.75	$63.50	$127.00	7,236.86
$6.40	$12.80	$32.00	$64.00	$128.00	4,517.93
$6.45	$12.90	$32.25	$64.50	$129.00	5,167.52
$6.50	$13.00	$32.50	$65.00	$130.00	4,018.46
$6.55	$13.10	$32.75	$65.50	$131.00	4,018.46
$6.60	$13.20	$33.00	$66.00	$132.00	5,167.52
$6.65	$13.30	$33.25	$66.50	$133.00	4,018.46
$6.70	$13.40	$33.50	$67.00	$134.00	5,167.52
$6.75	$13.50	$33.75	$67.50	$135.00	12,025.17
$6.80	$13.60	$34.00	$68.00	$136.00	7,236.86
$6.85	$13.70	$34.25	$68.50	$137.00	4,517.93
$6.90	$13.80	$34.50	$69.00	$138.00	3,287.46
$6.95	$13.90	$34.75	$69.50	$139.00	7,236.86
$7.00	$14.00	$35.00	$70.00	$140.00	4,517.93
$7.05	$14.10	$35.25	$70.50	$141.00	12,025.17
$7.10	$14.20	$35.50	$71.00	$142.00	6,023.91
$7.15	$14.30	$35.75	$71.50	$143.00	9,035.86
$7.20	$14.40	$36.00	$72.00	$144.00	6,023.91
$7.25	$14.50	$36.25	$72.50	$145.00	7,236.86
$7.30	$14.60	$36.50	$73.00	$146.00	4,517.93
$7.35	$14.70	$36.75	$73.50	$147.00	12,025.17
$7.40	$14.80	$37.00	$74.00	$148.00	9,035.86
$7.45	$14.90	$37.25	$74.50	$149.00	7,236.86
$7.50	$15.00	$37.50	$75.00	$150.00	6,023.91
$7.55	$15.10	$37.75	$75.50	$151.00	5,167.52
$7.60	$15.20	$38.00	$76.00	$152.00	6,023.91
$7.65	$15.30	$38.25	$76.50	$153.00	12,025.17
$7.70	$15.40	$38.50	$77.00	$154.00	7,236.86
