$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	$30.00	
$0.02	$0.04	$0.10	$0.20	$0.40	$0.60	$1.00	$2.00	$4.00	$6.00	50
$0.04	$0.08	$0.20	$0.40	$0.80	$1.20	$2.00	$4.00	$8.00	$12.00	80
$0.05	$0.10	$0.25	$0.50	$1.00	$1.50	$2.50	$5.00	$10.00	$15.00	64.52
$0.06	$0.12	$0.30	$0.60	$1.20	$1.80	$3.00	$6.00	$12.00	$18.00	80
$0.07	$0.14	$0.35	$0.70	$1.40	$2.10	$3.50	$7.00	$14.00	$21.00	83.33
$0.08	$0.16	$0.40	$0.80	$1.60	$2.40	$4.00	$8.00	$16.00	$24.00	100
$0.09	$0.18	$0.45	$0.90	$1.80	$2.70	$4.50	$9.00	$18.00	$27.00	90.91
$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	$30.00	41.67
$0.12	$0.24	$0.60	$1.20	$2.40	$3.60	$6.00	$12.00	$24.00	$36.00	55.56
$0.14	$0.28	$0.70	$1.40	$2.80	$4.20	$7.00	$14.00	$28.00	$42.00	142.86
$0.15	$0.30	$0.75	$1.50	$3.00	$4.50	$7.50	$15.00	$30.00	$45.00	142.86
$0.17	$0.34	$0.85	$1.70	$3.40	$5.10	$8.50	$17.00	$34.00	$51.00	142.86
$0.19	$0.38	$0.95	$1.90	$3.80	$5.70	$9.50	$19.00	$38.00	$57.00	285.71
$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	$10.00	$20.00	$40.00	$60.00	66.67
$0.25	$0.50	$1.25	$2.50	$5.00	$7.50	$12.50	$25.00	$50.00	$75.00	100
$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	$15.00	$30.00	$60.00	$90.00	166.67
$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	$20.00	$40.00	$80.00	$120.00	133.33
$0.50	$1.00	$2.50	$5.00	$10.00	$15.00	$25.00	$50.00	$100.00	$150.00	132.45
$0.60	$1.20	$3.00	$6.00	$12.00	$18.00	$30.00	$60.00	$120.00	$180.00	212.77
$0.70	$1.40	$3.50	$7.00	$14.00	$21.00	$35.00	$70.00	$140.00	$210.00	421.05
$0.80	$1.60	$4.00	$8.00	$16.00	$24.00	$40.00	$80.00	$160.00	$240.00	358.74
$0.90	$1.80	$4.50	$9.00	$18.00	$27.00	$45.00	$90.00	$180.00	$270.00	2,666.67
$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	$100.00	$200.00	$300.00	125
$1.10	$2.20	$5.50	$11.00	$22.00	$33.00	$55.00	$110.00	$220.00	$330.00	333.33
$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	$60.00	$120.00	$240.00	$360.00	333.33
$1.30	$2.60	$6.50	$13.00	$26.00	$39.00	$65.00	$130.00	$260.00	$390.00	500
$1.50	$3.00	$7.50	$15.00	$30.00	$45.00	$75.00	$150.00	$300.00	$450.00	1,000.00
$1.60	$3.20	$8.00	$16.00	$32.00	$48.00	$80.00	$160.00	$320.00	$480.00	500
$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	$100.00	$200.00	$400.00	$600.00	119.05
$2.10	$4.20	$10.50	$21.00	$42.00	$63.00	$105.00	$210.00	$420.00	$630.00	571.43
$2.20	$4.40	$11.00	$22.00	$44.00	$66.00	$110.00	$220.00	$440.00	$660.00	571.43
$3.50	$7.00	$17.50	$35.00	$70.00	$105.00	$175.00	$350.00	$700.00	$1,050.00	1,000.00
$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	$200.00	$400.00	$800.00	$1,200.00	13,333.33
$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	$250.00	$500.00	$1,000.00	$1,500.00	20,202.02
$5.50	$11.00	$27.50	$55.00	$110.00	$165.00	$275.00	$550.00	$1,100.00	$1,650.00	9,090.91
$6.50	$13.00	$32.50	$65.00	$130.00	$195.00	$325.00	$650.00	$1,300.00	$1,950.00	18,181.82
$10.00	$20.00	$50.00	$100.00	$200.00	$300.00	$500.00	$1,000.00	$2,000.00	$3,000.00	40,000.00
$20.00	$40.00	$100.00	$200.00	$400.00	$600.00	$1,000.00	$2,000.00	$4,000.00	$6,000.00	90,909.09
$30.00	$60.00	$150.00	$300.00	$600.00	$900.00	$1,500.00	$3,000.00	$6,000.00	$9,000.00	1,000,000.00
$40.00	$80.00	$200.00	$400.00	$800.00	$1,200.00	$2,000.00	$4,000.00	$8,000.00	$12,000.00	1,000,000.00
$50.00	$100.00	$250.00	$500.00	$1,000.00	$1,500.00	$2,500.00	$5,000.00	$10,000.00	$15,000.00	1,000,000.00
$500.00	$1,000.00	$2,500.00	$5,000.00	$10,000.00	$15,000.00	$25,000.00	$50,000.00	$100,000.00	$150,000.00	2,000,000.00
