$1.00	$2.00	
$0.10	$0.20	28.72
$0.20	$0.40	44.44
$0.50	$1.00	57.12
$0.60	$1.20	19,801.98
$1.00	$2.00	28.17
$1.20	$2.40	23.09
$1.40	$2.80	200.04
$1.50	$3.00	57.06
$1.60	$3.20	200
$1.70	$3.40	200
$2.00	$4.00	89.72
$2.20	$4.40	392.16
$2.40	$4.80	10,000.00
$2.50	$5.00	10,000.00
$2.60	$5.20	10,000.00
$2.70	$5.40	6,666.67
$2.80	$5.60	333.33
$2.90	$5.80	400
$3.00	$6.00	246.88
$3.20	$6.40	20,000.00
$3.50	$7.00	1,666.67
$3.60	$7.20	2,000.00
$4.00	$8.00	526.32
$4.20	$8.40	769.23
$4.50	$9.00	740.74
$4.60	$9.20	10,000.00
$4.70	$9.40	1,379.31
$4.90	$9.80	1,666.67
$5.00	$10.00	662.91
$5.10	$10.20	10,000.00
$5.30	$10.60	20,000.00
$5.50	$11.00	10,000.00
$5.60	$11.20	10,000.00
$5.90	$11.80	5,000.00
$6.00	$12.00	2,936.86
$6.30	$12.60	10,000.00
$6.40	$12.80	4,000.00
$6.50	$13.00	10,000.00
$6.70	$13.40	2,500.00
$7.00	$14.00	3,333.33
$7.20	$14.40	5,000.00
$7.50	$15.00	20,000.00
$7.80	$15.60	7,142.86
$7.90	$15.80	400
$8.00	$16.00	2,183.41
$8.10	$16.20	20,000.00
$8.30	$16.60	2,500.00
$8.40	$16.80	20,000.00
$8.50	$17.00	20,000.00
$8.90	$17.80	5,000.00
$9.00	$18.00	4,000.00
$9.70	$19.40	3,333.33
$10.00	$20.00	97.56
$10.10	$20.20	10,000.00
$10.20	$20.40	40,000.00
$10.50	$21.00	20,000.00
$10.60	$21.20	10,000.00
$10.70	$21.40	40,000.00
$10.80	$21.60	20,000.00
$11.10	$22.20	20,000.00
$11.30	$22.60	33,333.33
$11.90	$23.80	18,181.82
$12.00	$24.00	1,282.05
$12.20	$24.40	4,000.00
$12.50	$25.00	40,000.00
$12.60	$25.20	51,282.05
$12.90	$25.80	200,000.00
$13.00	$26.00	3,795.07
$13.20	$26.40	13,333.33
$13.30	$26.60	20,000.00
$13.60	$27.20	3,636.36
$13.70	$27.40	40,000.00
$13.80	$27.60	20,000.00
$13.90	$27.80	40,000.00
$14.00	$28.00	666.67
$14.20	$28.40	7,407.41
$14.50	$29.00	20,000.00
$14.60	$29.20	3,514.94
$14.80	$29.60	20,000.00
$14.90	$29.80	20,000.00
$15.00	$30.00	3,174.60
$15.20	$30.40	13,333.33
$15.50	$31.00	10,000.00
$15.60	$31.20	10,000.00
$15.90	$31.80	4,000.00
$16.00	$32.00	985.22
$16.20	$32.40	10,000.00
$16.30	$32.60	40,000.00
$16.60	$33.20	40,000.00
$16.80	$33.60	40,000.00
$16.90	$33.80	33,333.33
$17.00	$34.00	1,052.63
$17.40	$34.80	19,417.48
$17.50	$35.00	10,000.00
$18.00	$36.00	1,036.81
$18.20	$36.40	40,000.00
$18.50	$37.00	400,000.00
$18.60	$37.20	40,000.00
$18.70	$37.40	1,538.46
$19.00	$38.00	40,000.00
$19.20	$38.40	20,000.00
$19.70	$39.40	6,666.67
$20.00	$40.00	649.35
$20.20	$40.40	1,666.67
$20.30	$40.60	20,000.00
$20.60	$41.20	20,000.00
$20.70	$41.40	20,000.00
$21.40	$42.80	20,000.00
$21.50	$43.00	18,867.92
$21.70	$43.40	20,000.00
$22.00	$44.00	952.38
$22.50	$45.00	200,000.00
$22.70	$45.40	20,000.00
$23.30	$46.60	7,692.31
$23.70	$47.40	3,333.33
$24.00	$48.00	885.74
$24.50	$49.00	33,333.33
$25.00	$50.00	9,090.91
$25.20	$50.40	133,333.33
$25.30	$50.60	30,303.03
$25.40	$50.80	40,000.00
$25.50	$51.00	20,000.00
$25.70	$51.40	17,391.30
$26.00	$52.00	1,538.46
$26.20	$52.40	20,000.00
$26.40	$52.80	31,250.00
$27.00	$54.00	18,181.82
$27.30	$54.60	6,666.67
$27.70	$55.40	30,303.03
$28.00	$56.00	2,000.00
$28.50	$57.00	10,000.00
$28.80	$57.60	20,000.00
$29.00	$58.00	18,181.82
$29.50	$59.00	6,666.67
$29.90	$59.80	100,000.00
$30.00	$60.00	1,980.20
$30.10	$60.20	4,000.00
$31.00	$62.00	5,000.00
$31.50	$63.00	66,666.67
$31.70	$63.40	20,000.00
$31.80	$63.60	100,000.00
$32.20	$64.40	20,000.00
$32.50	$65.00	20,000.00
$33.00	$66.00	20,000.00
$33.10	$66.20	3,333.33
$33.70	$67.40	20,000.00
$34.00	$68.00	40,000.00
$34.30	$68.60	3,333.33
$34.80	$69.60	6,666.67
$35.00	$70.00	8,000.00
$35.10	$70.20	10,000.00
$36.00	$72.00	100,000.00
$36.30	$72.60	8,000.00
$36.50	$73.00	8,000.00
$36.80	$73.60	20,000.00
$37.40	$74.80	100,000.00
$37.60	$75.20	40,000.00
$38.00	$76.00	15,384.62
$39.30	$78.60	20,000.00
$39.50	$79.00	20,000.00
$40.00	$80.00	18,181.82
$40.20	$80.40	200,000.00
$40.50	$81.00	20,000.00
$40.60	$81.20	20,000.00
$40.80	$81.60	40,000.00
$41.00	$82.00	200,000.00
$42.50	$85.00	200,000.00
