$0.20	$0.50	$1.00	$2.00	
$0.04	$0.10	$0.20	$0.40	16.67
$0.08	$0.20	$0.40	$0.80	80
$0.12	$0.30	$0.60	$1.20	80
$0.16	$0.40	$0.80	$1.60	133.34
$0.20	$0.50	$1.00	$2.00	16.67
$0.24	$0.60	$1.20	$2.40	195.94
$0.28	$0.70	$1.40	$2.80	257.73
$0.32	$0.80	$1.60	$3.20	326.74
$0.36	$0.90	$1.80	$3.60	403.55
$0.40	$1.00	$2.00	$4.00	40.47
$0.44	$1.10	$2.20	$4.40	578.7
$0.48	$1.20	$2.40	$4.80	690.61
$0.52	$1.30	$2.60	$5.20	789.27
$0.56	$1.40	$2.80	$5.60	919.96
$0.60	$1.50	$3.00	$6.00	45.83
$0.64	$1.60	$3.20	$6.40	1,183.43
$0.68	$1.70	$3.40	$6.80	1,336.01
$0.72	$1.80	$3.60	$7.20	1,517.45
$0.76	$1.90	$3.80	$7.60	1,661.13
$0.80	$2.00	$4.00	$8.00	1,895.73
$0.84	$2.10	$4.20	$8.40	1,716.74
$0.88	$2.20	$4.40	$8.80	1,851.85
$0.92	$2.30	$4.60	$9.20	2,008.03
$0.96	$2.40	$4.80	$9.60	2,162.16
$1.00	$2.50	$5.00	$10.00	80.94
$1.04	$2.60	$5.20	$10.40	2,478.31
$1.08	$2.70	$5.40	$10.80	2,652.52
$1.12	$2.80	$5.60	$11.20	2,828.85
$1.16	$2.90	$5.80	$11.60	2,985.07
$1.20	$3.00	$6.00	$12.00	3,169.57
$1.24	$3.10	$6.20	$12.40	3,355.70
$1.28	$3.20	$6.40	$12.80	3,533.57
$1.32	$3.30	$6.60	$13.20	3,738.32
$1.36	$3.40	$6.80	$13.60	3,960.40
$1.40	$3.50	$7.00	$14.00	4,081.63
$1.44	$3.60	$7.20	$14.40	4,338.39
$1.48	$3.70	$7.40	$14.80	4,555.81
$1.52	$3.80	$7.60	$15.20	4,750.59
$1.56	$3.90	$7.80	$15.60	4,926.11
$1.60	$4.00	$8.00	$16.00	5,167.96
$1.64	$4.10	$8.20	$16.40	5,420.05
$1.68	$4.20	$8.40	$16.80	5,555.56
$1.72	$4.30	$8.60	$17.20	5,780.35
$1.76	$4.40	$8.80	$17.60	6,079.03
$1.80	$4.50	$9.00	$18.00	6,250.00
