$0.10	$0.25	$0.50	$1.00	$2.00	
$0.10	$0.25	$0.50	$1.00	$2.00	170.94
$0.20	$0.50	$1.00	$2.00	$4.00	170.94
$0.30	$0.75	$1.50	$3.00	$6.00	147.06
$0.40	$1.00	$2.00	$4.00	$8.00	147.06
$0.50	$1.25	$2.50	$5.00	$10.00	204.08
$1.00	$2.50	$5.00	$10.00	$20.00	256.41
$1.50	$3.75	$7.50	$15.00	$30.00	256.41
$2.00	$5.00	$10.00	$20.00	$40.00	512.82
$3.00	$7.50	$15.00	$30.00	$60.00	1,282.05
$4.00	$10.00	$20.00	$40.00	$80.00	2,061.86
$5.00	$12.50	$25.00	$50.00	$100.00	5,128.21
$8.00	$20.00	$40.00	$80.00	$160.00	6,896.55
$10.00	$25.00	$50.00	$100.00	$200.00	10,000.00
$20.00	$50.00	$100.00	$200.00	$400.00	10,000.00
$50.00	$125.00	$250.00	$500.00	$1,000.00	20,618.56
$100.00	$250.00	$500.00	$1,000.00	$2,000.00	200,000.00
$500.00	$1,250.00	$2,500.00	$5,000.00	$10,000.00	2,000,000.00
$1,000.00	$2,500.00	$5,000.00	$10,000.00	$20,000.00	3,333,333.33
$2,500.00	$6,250.00	$12,500.00	$25,000.00	$50,000.00	3,333,333.33
$0.20	$0.50	$1.00	$2.00	$4.00	101,010.10
$0.40	$1.00	$2.00	$4.00	$8.00	13,698.63
$0.60	$1.50	$3.00	$6.00	$12.00	3,412.97
$0.80	$2.00	$4.00	$8.00	$16.00	1,136.36
$1.00	$2.50	$5.00	$10.00	$20.00	1,137.66
$2.00	$5.00	$10.00	$20.00	$40.00	1,075.27
$3.00	$7.50	$15.00	$30.00	$60.00	1,706.48
$4.00	$10.00	$20.00	$40.00	$80.00	3,448.28
$6.00	$15.00	$30.00	$60.00	$120.00	10,204.08
$8.00	$20.00	$40.00	$80.00	$160.00	17,241.38
$10.00	$25.00	$50.00	$100.00	$200.00	33,333.33
$16.00	$40.00	$80.00	$160.00	$320.00	45,454.55
$20.00	$50.00	$100.00	$200.00	$400.00	66,666.67
$40.00	$100.00	$200.00	$400.00	$800.00	66,666.67
$100.00	$250.00	$500.00	$1,000.00	$2,000.00	416,666.67
$200.00	$500.00	$1,000.00	$2,000.00	$4,000.00	5,000,000.00
$13.50	$33.75	$67.50	$135.00	$270.00	29,411.76
$14.70	$36.75	$73.50	$147.00	$294.00	29,411.76
$15.40	$38.50	$77.00	$154.00	$308.00	25,641.03
$17.50	$43.75	$87.50	$175.00	$350.00	25,641.03
$17.70	$44.25	$88.50	$177.00	$354.00	25,641.03
$18.60	$46.50	$93.00	$186.00	$372.00	25,641.03
$19.80	$49.50	$99.00	$198.00	$396.00	22,727.27
$21.10	$52.75	$105.50	$211.00	$422.00	22,727.27
$22.20	$55.50	$111.00	$222.00	$444.00	22,727.27
$23.30	$58.25	$116.50	$233.00	$466.00	22,727.27
$24.70	$61.75	$123.50	$247.00	$494.00	22,727.27
$25.80	$64.50	$129.00	$258.00	$516.00	22,727.27
$26.70	$66.75	$133.50	$267.00	$534.00	22,727.27
$27.90	$69.75	$139.50	$279.00	$558.00	22,727.27
$28.40	$71.00	$142.00	$284.00	$568.00	22,727.27
$29.70	$74.25	$148.50	$297.00	$594.00	22,727.27
$30.20	$75.50	$151.00	$302.00	$604.00	22,727.27
$31.90	$79.75	$159.50	$319.00	$638.00	22,727.27
$32.50	$81.25	$162.50	$325.00	$650.00	22,471.91
$33.40	$83.50	$167.00	$334.00	$668.00	22,727.27
$34.00	$85.00	$170.00	$340.00	$680.00	22,727.27
$35.70	$89.25	$178.50	$357.00	$714.00	29,411.76
$36.40	$91.00	$182.00	$364.00	$728.00	29,411.76
$37.70	$94.25	$188.50	$377.00	$754.00	29,411.76
$38.30	$95.75	$191.50	$383.00	$766.00	29,411.76
$39.10	$97.75	$195.50	$391.00	$782.00	40,816.33
$40.00	$100.00	$200.00	$400.00	$800.00	40,816.33
$41.20	$103.00	$206.00	$412.00	$824.00	40,816.33
$42.50	$106.25	$212.50	$425.00	$850.00	102,040.82
$43.90	$109.75	$219.50	$439.00	$878.00	102,040.82
$44.50	$111.25	$222.50	$445.00	$890.00	102,040.82
$45.00	$112.50	$225.00	$450.00	$900.00	126,582.28
$45.60	$114.00	$228.00	$456.00	$912.00	126,582.28
$46.30	$115.75	$231.50	$463.00	$926.00	126,582.28
$47.40	$118.50	$237.00	$474.00	$948.00	126,582.28
$48.50	$121.25	$242.50	$485.00	$970.00	126,582.28
$49.70	$124.25	$248.50	$497.00	$994.00	126,582.28
$50.50	$126.25	$252.50	$505.00	$1,010.00	135,135.14
$51.10	$127.75	$255.50	$511.00	$1,022.00	135,135.14
$52.30	$130.75	$261.50	$523.00	$1,046.00	135,135.14
$53.20	$133.00	$266.00	$532.00	$1,064.00	135,135.14
$54.70	$136.75	$273.50	$547.00	$1,094.00	135,135.14
$55.30	$138.25	$276.50	$553.00	$1,106.00	204,081.63
$56.70	$141.75	$283.50	$567.00	$1,134.00	204,081.63
$57.50	$143.75	$287.50	$575.00	$1,150.00	204,081.63
$58.60	$146.50	$293.00	$586.00	$1,172.00	204,081.63
$59.00	$147.50	$295.00	$590.00	$1,180.00	204,081.63
$60.40	$151.00	$302.00	$604.00	$1,208.00	333,333.33
$61.00	$152.50	$305.00	$610.00	$1,220.00	333,333.33
$62.50	$156.25	$312.50	$625.00	$1,250.00	333,333.33
$63.30	$158.25	$316.50	$633.00	$1,266.00	333,333.33
$64.60	$161.50	$323.00	$646.00	$1,292.00	333,333.33
$65.10	$162.75	$325.50	$651.00	$1,302.00	333,333.33
$66.70	$166.75	$333.50	$667.00	$1,334.00	333,333.33
$67.40	$168.50	$337.00	$674.00	$1,348.00	333,333.33
$68.90	$172.25	$344.50	$689.00	$1,378.00	333,333.33
$69.50	$173.75	$347.50	$695.00	$1,390.00	333,333.33
$70.70	$176.75	$353.50	$707.00	$1,414.00	333,333.33
$71.60	$179.00	$358.00	$716.00	$1,432.00	333,333.33
$71.60	$179.00	$358.00	$716.00	$1,432.00	333,333.33
$72.30	$180.75	$361.50	$723.00	$1,446.00	333,333.33
$73.10	$182.75	$365.50	$731.00	$1,462.00	333,333.33
$74.90	$187.25	$374.50	$749.00	$1,498.00	500,000.00
$76.10	$190.25	$380.50	$761.00	$1,522.00	500,000.00
$77.40	$193.50	$387.00	$774.00	$1,548.00	500,000.00
$78.60	$196.50	$393.00	$786.00	$1,572.00	500,000.00
$79.10	$197.75	$395.50	$791.00	$1,582.00	500,000.00
$80.20	$200.50	$401.00	$802.00	$1,604.00	1,428,571.43
