$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	
$0.05	$0.10	$0.20	$0.30	$0.50	$1.00	$2.00	57.14
$0.10	$0.20	$0.40	$0.60	$1.00	$2.00	$4.00	80
$0.15	$0.30	$0.60	$0.90	$1.50	$3.00	$6.00	121.21
$0.20	$0.40	$0.80	$1.20	$2.00	$4.00	$8.00	2,000.00
$0.25	$0.50	$1.00	$1.50	$2.50	$5.00	$10.00	125
$0.30	$0.60	$1.20	$1.80	$3.00	$6.00	$12.00	266.67
$0.35	$0.70	$1.40	$2.10	$3.50	$7.00	$14.00	129.03
$0.40	$0.80	$1.60	$2.40	$4.00	$8.00	$16.00	200
$0.45	$0.90	$1.80	$2.70	$4.50	$9.00	$18.00	129.03
$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	107.82
$0.55	$1.10	$2.20	$3.30	$5.50	$11.00	$22.00	333.33
$0.60	$1.20	$2.40	$3.60	$6.00	$12.00	$24.00	121.21
$0.65	$1.30	$2.60	$3.90	$6.50	$13.00	$26.00	266.67
$0.70	$1.40	$2.80	$4.20	$7.00	$14.00	$28.00	400
$0.75	$1.50	$3.00	$4.50	$7.50	$15.00	$30.00	333.33
$0.80	$1.60	$3.20	$4.80	$8.00	$16.00	$32.00	666.67
$0.85	$1.70	$3.40	$5.10	$8.50	$17.00	$34.00	190.48
$0.90	$1.80	$3.60	$5.40	$9.00	$18.00	$36.00	250
$1.00	$2.00	$4.00	$6.00	$10.00	$20.00	$40.00	75.47
$1.05	$2.10	$4.20	$6.30	$10.50	$21.00	$42.00	666.67
$1.10	$2.20	$4.40	$6.60	$11.00	$22.00	$44.00	250
$1.15	$2.30	$4.60	$6.90	$11.50	$23.00	$46.00	285.71
$1.20	$2.40	$4.80	$7.20	$12.00	$24.00	$48.00	1,000.00
$1.25	$2.50	$5.00	$7.50	$12.50	$25.00	$50.00	666.67
$1.30	$2.60	$5.20	$7.80	$13.00	$26.00	$52.00	666.67
$1.35	$2.70	$5.40	$8.10	$13.50	$27.00	$54.00	250
$1.40	$2.80	$5.60	$8.40	$14.00	$28.00	$56.00	266.67
$1.50	$3.00	$6.00	$9.00	$15.00	$30.00	$60.00	500
$1.60	$3.20	$6.40	$9.60	$16.00	$32.00	$64.00	500
$1.70	$3.40	$6.80	$10.20	$17.00	$34.00	$68.00	1,000.00
$1.95	$3.90	$7.80	$11.70	$19.50	$39.00	$78.00	2,666.67
$2.00	$4.00	$8.00	$12.00	$20.00	$40.00	$80.00	170.21
$2.10	$4.20	$8.40	$12.60	$21.00	$42.00	$84.00	727.27
$2.30	$4.60	$9.20	$13.80	$23.00	$46.00	$92.00	800
$2.35	$4.70	$9.40	$14.10	$23.50	$47.00	$94.00	1,333.33
$2.50	$5.00	$10.00	$15.00	$25.00	$50.00	$100.00	169.49
$2.60	$5.20	$10.40	$15.60	$26.00	$52.00	$104.00	666.67
$2.65	$5.30	$10.60	$15.90	$26.50	$53.00	$106.00	666.67
$2.70	$5.40	$10.80	$16.20	$27.00	$54.00	$108.00	190.48
$2.75	$5.50	$11.00	$16.50	$27.50	$55.00	$110.00	2,000.00
$2.85	$5.70	$11.40	$17.10	$28.50	$57.00	$114.00	2,000.00
$2.95	$5.90	$11.80	$17.70	$29.50	$59.00	$118.00	666.67
$3.00	$6.00	$12.00	$18.00	$30.00	$60.00	$120.00	2,000.00
$3.15	$6.30	$12.60	$18.90	$31.50	$63.00	$126.00	2,666.67
$3.35	$6.70	$13.40	$20.10	$33.50	$67.00	$134.00	4,000.00
$3.50	$7.00	$14.00	$21.00	$35.00	$70.00	$140.00	888.89
$3.55	$7.10	$14.20	$21.30	$35.50	$71.00	$142.00	2,666.67
$3.60	$7.20	$14.40	$21.60	$36.00	$72.00	$144.00	1,333.33
$3.65	$7.30	$14.60	$21.90	$36.50	$73.00	$146.00	2,666.67
$3.85	$7.70	$15.40	$23.10	$38.50	$77.00	$154.00	2,666.67
$3.90	$7.80	$15.60	$23.40	$39.00	$78.00	$156.00	1,000.00
$4.00	$8.00	$16.00	$24.00	$40.00	$80.00	$160.00	2,666.67
$4.10	$8.20	$16.40	$24.60	$41.00	$82.00	$164.00	2,000.00
$4.50	$9.00	$18.00	$27.00	$45.00	$90.00	$180.00	2,666.67
$5.00	$10.00	$20.00	$30.00	$50.00	$100.00	$200.00	212.54
$5.15	$10.30	$20.60	$30.90	$51.50	$103.00	$206.00	5,000.00
$5.25	$10.50	$21.00	$31.50	$52.50	$105.00	$210.00	2,666.67
$5.30	$10.60	$21.20	$31.80	$53.00	$106.00	$212.00	2,000.00
$5.35	$10.70	$21.40	$32.10	$53.50	$107.00	$214.00	4,000.00
$5.40	$10.80	$21.60	$32.40	$54.00	$108.00	$216.00	2,666.67
$5.45	$10.90	$21.80	$32.70	$54.50	$109.00	$218.00	1,176.47
$5.50	$11.00	$22.00	$33.00	$55.00	$110.00	$220.00	687.29
$6.00	$12.00	$24.00	$36.00	$60.00	$120.00	$240.00	1,047.12
$6.05	$12.10	$24.20	$36.30	$60.50	$121.00	$242.00	10,000.00
$6.35	$12.70	$25.40	$38.10	$63.50	$127.00	$254.00	20,000.00
$6.40	$12.80	$25.60	$38.40	$64.00	$128.00	$256.00	2,000.00
$6.50	$13.00	$26.00	$39.00	$65.00	$130.00	$260.00	1,724.14
$6.60	$13.20	$26.40	$39.60	$66.00	$132.00	$264.00	8,000.00
$7.00	$14.00	$28.00	$42.00	$70.00	$140.00	$280.00	925.93
