$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	
$0.02	$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	25.64
$0.04	$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	47.62
$0.06	$0.15	$0.30	$0.60	$1.50	$3.00	$6.00	74.07
$0.08	$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	133.33
$0.10	$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	266.67
$0.12	$0.30	$0.60	$1.20	$3.00	$6.00	$12.00	400
$0.14	$0.35	$0.70	$1.40	$3.50	$7.00	$14.00	500
$0.16	$0.40	$0.80	$1.60	$4.00	$8.00	$16.00	500
$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	27.5
$0.22	$0.55	$1.10	$2.20	$5.50	$11.00	$22.00	333.33
$0.24	$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	111.11
$0.26	$0.65	$1.30	$2.60	$6.50	$13.00	$26.00	500
$0.28	$0.70	$1.40	$2.80	$7.00	$14.00	$28.00	250
$0.30	$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	80
$0.32	$0.80	$1.60	$3.20	$8.00	$16.00	$32.00	160
$0.34	$0.85	$1.70	$3.40	$8.50	$17.00	$34.00	500
$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	68.03
$0.50	$1.25	$2.50	$5.00	$12.50	$25.00	$50.00	166.67
$0.52	$1.30	$2.60	$5.20	$13.00	$26.00	$52.00	500
$0.54	$1.35	$2.70	$5.40	$13.50	$27.00	$54.00	250
$0.60	$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	96.62
$0.64	$1.60	$3.20	$6.40	$16.00	$32.00	$64.00	384.62
$0.68	$1.70	$3.40	$6.80	$17.00	$34.00	$68.00	1,000.00
$0.70	$1.75	$3.50	$7.00	$17.50	$35.00	$70.00	2,000.00
$0.74	$1.85	$3.70	$7.40	$18.50	$37.00	$74.00	2,000.00
$0.78	$1.95	$3.90	$7.80	$19.50	$39.00	$78.00	1,000.00
$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	109.29
$0.84	$2.10	$4.20	$8.40	$21.00	$42.00	$84.00	5,000.00
$0.88	$2.20	$4.40	$8.80	$22.00	$44.00	$88.00	588.24
$0.90	$2.25	$4.50	$9.00	$22.50	$45.00	$90.00	476.19
$0.96	$2.40	$4.80	$9.60	$24.00	$48.00	$96.00	5,000.00
$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	322.58
$1.02	$2.55	$5.10	$10.20	$25.50	$51.00	$102.00	5,000.00
$1.04	$2.60	$5.20	$10.40	$26.00	$52.00	$104.00	5,000.00
$1.06	$2.65	$5.30	$10.60	$26.50	$53.00	$106.00	5,000.00
$1.08	$2.70	$5.40	$10.80	$27.00	$54.00	$108.00	2,500.00
$1.10	$2.75	$5.50	$11.00	$27.50	$55.00	$110.00	3,333.33
$1.12	$2.80	$5.60	$11.20	$28.00	$56.00	$112.00	1,666.67
$1.14	$2.85	$5.70	$11.40	$28.50	$57.00	$114.00	5,000.00
$1.20	$3.00	$6.00	$12.00	$30.00	$60.00	$120.00	727.27
$1.24	$3.10	$6.20	$12.40	$31.00	$62.00	$124.00	5,000.00
$1.34	$3.35	$6.70	$13.40	$33.50	$67.00	$134.00	1,666.67
$1.38	$3.45	$6.90	$13.80	$34.50	$69.00	$138.00	5,000.00
$1.40	$3.50	$7.00	$14.00	$35.00	$70.00	$140.00	1,176.47
$1.42	$3.55	$7.10	$14.20	$35.50	$71.00	$142.00	5,000.00
$1.44	$3.60	$7.20	$14.40	$36.00	$72.00	$144.00	5,000.00
$1.48	$3.70	$7.40	$14.80	$37.00	$74.00	$148.00	5,000.00
$1.50	$3.75	$7.50	$15.00	$37.50	$75.00	$150.00	5,000.00
$1.60	$4.00	$8.00	$16.00	$40.00	$80.00	$160.00	1,052.63
$1.80	$4.50	$9.00	$18.00	$45.00	$90.00	$180.00	2,222.22
$1.86	$4.65	$9.30	$18.60	$46.50	$93.00	$186.00	10,000.00
$1.94	$4.85	$9.70	$19.40	$48.50	$97.00	$194.00	5,000.00
$1.96	$4.90	$9.80	$19.60	$49.00	$98.00	$196.00	2,666.67
$2.00	$5.00	$10.00	$20.00	$50.00	$100.00	$200.00	281.69
$2.02	$5.05	$10.10	$20.20	$50.50	$101.00	$202.00	10,000.00
$2.04	$5.10	$10.20	$20.40	$51.00	$102.00	$204.00	2,500.00
$2.08	$5.20	$10.40	$20.80	$52.00	$104.00	$208.00	10,000.00
$2.10	$5.25	$10.50	$21.00	$52.50	$105.00	$210.00	3,333.33
$2.20	$5.50	$11.00	$22.00	$55.00	$110.00	$220.00	909.09
$2.24	$5.60	$11.20	$22.40	$56.00	$112.00	$224.00	1,250.00
$2.30	$5.75	$11.50	$23.00	$57.50	$115.00	$230.00	10,000.00
$2.34	$5.85	$11.70	$23.40	$58.50	$117.00	$234.00	20,000.00
