$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	$30.00	$50.00	
$0.05	$0.10	$0.20	$0.30	$0.50	$1.00	$2.00	$3.00	$5.00	35.71
$0.10	$0.20	$0.40	$0.60	$1.00	$2.00	$4.00	$6.00	$10.00	44.44
$0.15	$0.30	$0.60	$0.90	$1.50	$3.00	$6.00	$9.00	$15.00	80
$0.20	$0.40	$0.80	$1.20	$2.00	$4.00	$8.00	$12.00	$20.00	80
$0.25	$0.50	$1.00	$1.50	$2.50	$5.00	$10.00	$15.00	$25.00	133.33
$0.35	$0.70	$1.40	$2.10	$3.50	$7.00	$14.00	$21.00	$35.00	400
$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	$30.00	$50.00	55.36
$0.60	$1.20	$2.40	$3.60	$6.00	$12.00	$24.00	$36.00	$60.00	142.86
$0.70	$1.40	$2.80	$4.20	$7.00	$14.00	$28.00	$42.00	$70.00	500
$0.75	$1.50	$3.00	$4.50	$7.50	$15.00	$30.00	$45.00	$75.00	100
$0.80	$1.60	$3.20	$4.80	$8.00	$16.00	$32.00	$48.00	$80.00	333.33
$0.85	$1.70	$3.40	$5.10	$8.50	$17.00	$34.00	$51.00	$85.00	1,000.00
$0.90	$1.80	$3.60	$5.40	$9.00	$18.00	$36.00	$54.00	$90.00	666.67
$0.95	$1.90	$3.80	$5.70	$9.50	$19.00	$38.00	$57.00	$95.00	1,000.00
$1.00	$2.00	$4.00	$6.00	$10.00	$20.00	$40.00	$60.00	$100.00	53.33
$1.20	$2.40	$4.80	$7.20	$12.00	$24.00	$48.00	$72.00	$120.00	333.33
$1.25	$2.50	$5.00	$7.50	$12.50	$25.00	$50.00	$75.00	$125.00	1,000.00
$1.30	$2.60	$5.20	$7.80	$13.00	$26.00	$52.00	$78.00	$130.00	1,000.00
$1.35	$2.70	$5.40	$8.10	$13.50	$27.00	$54.00	$81.00	$135.00	400
$1.50	$3.00	$6.00	$9.00	$15.00	$30.00	$60.00	$90.00	$150.00	200
$1.60	$3.20	$6.40	$9.60	$16.00	$32.00	$64.00	$96.00	$160.00	2,000.00
$1.75	$3.50	$7.00	$10.50	$17.50	$35.00	$70.00	$105.00	$175.00	1,333.33
$1.90	$3.80	$7.60	$11.40	$19.00	$38.00	$76.00	$114.00	$190.00	4,000.00
$1.95	$3.90	$7.80	$11.70	$19.50	$39.00	$78.00	$117.00	$195.00	4,000.00
$2.00	$4.00	$8.00	$12.00	$20.00	$40.00	$80.00	$120.00	$200.00	1,333.33
$2.20	$4.40	$8.80	$13.20	$22.00	$44.00	$88.00	$132.00	$220.00	4,000.00
$2.35	$4.70	$9.40	$14.10	$23.50	$47.00	$94.00	$141.00	$235.00	4,000.00
$2.50	$5.00	$10.00	$15.00	$25.00	$50.00	$100.00	$150.00	$250.00	109.89
$2.65	$5.30	$10.60	$15.90	$26.50	$53.00	$106.00	$159.00	$265.00	4,000.00
$2.75	$5.50	$11.00	$16.50	$27.50	$55.00	$110.00	$165.00	$275.00	4,000.00
$2.80	$5.60	$11.20	$16.80	$28.00	$56.00	$112.00	$168.00	$280.00	4,000.00
$3.00	$6.00	$12.00	$18.00	$30.00	$60.00	$120.00	$180.00	$300.00	333.33
$3.05	$6.10	$12.20	$18.30	$30.50	$61.00	$122.00	$183.00	$305.00	2,000.00
$3.25	$6.50	$13.00	$19.50	$32.50	$65.00	$130.00	$195.00	$325.00	5,000.00
$3.30	$6.60	$13.20	$19.80	$33.00	$66.00	$132.00	$198.00	$330.00	10,000.00
$3.35	$6.70	$13.40	$20.10	$33.50	$67.00	$134.00	$201.00	$335.00	1,666.67
$3.40	$6.80	$13.60	$20.40	$34.00	$68.00	$136.00	$204.00	$340.00	10,000.00
$3.50	$7.00	$14.00	$21.00	$35.00	$70.00	$140.00	$210.00	$350.00	10,000.00
$3.60	$7.20	$14.40	$21.60	$36.00	$72.00	$144.00	$216.00	$360.00	10,000.00
$3.70	$7.40	$14.80	$22.20	$37.00	$74.00	$148.00	$222.00	$370.00	5,000.00
$3.75	$7.50	$15.00	$22.50	$37.50	$75.00	$150.00	$225.00	$375.00	1,000.00
$3.85	$7.70	$15.40	$23.10	$38.50	$77.00	$154.00	$231.00	$385.00	10,000.00
$4.00	$8.00	$16.00	$24.00	$40.00	$80.00	$160.00	$240.00	$400.00	400
$4.10	$8.20	$16.40	$24.60	$41.00	$82.00	$164.00	$246.00	$410.00	10,000.00
$4.25	$8.50	$17.00	$25.50	$42.50	$85.00	$170.00	$255.00	$425.00	5,000.00
